0,1,2,3,4
1.489043,2.138981,8.493545,2.154673,6.227176
0.555150,0.550872,0.673147,0.682476,0.842156
0.469783,0.469061,0.478658,0.439341,0.495821
0.428617,0.424375,0.416067,0.405181,0.418541
0.397693,0.391285,0.371724,0.378278,0.385230
0.368730,0.361942,0.349496,0.360372,0.377347
0.357267,0.354589,0.331094,0.334439,0.363366
0.346352,0.342177,0.316780,0.318924,0.351937
0.331453,0.330660,0.298305,0.304233,0.335788
0.317175,0.318018,0.289166,0.289199,0.317218
0.305782,0.313113,0.283229,0.283966,0.301763
0.298483,0.307051,0.278902,0.272521,0.288785
0.294527,0.298091,0.273409,0.263690,0.280433
0.289081,0.289041,0.265048,0.257957,0.272383
0.286182,0.281840,0.257983,0.251714,0.266978
0.283893,0.274469,0.251745,0.246398,0.261802
0.282472,0.267622,0.246865,0.240993,0.256703
0.280871,0.257611,0.243334,0.237505,0.249503
0.279302,0.252455,0.240661,0.232715,0.245654
0.276605,0.245470,0.237831,0.228024,0.241389
0.274991,0.240630,0.235345,0.220167,0.238599
0.273167,0.237153,0.231331,0.216471,0.235060
0.272124,0.233982,0.229220,0.208809,0.231315
0.270849,0.230887,0.225391,0.200139,0.228246
0.269367,0.224436,0.221935,0.182411,0.225851
0.267853,0.218520,0.218878,0.165573,0.223852
0.266302,0.214530,0.216583,0.156171,0.220870
0.264299,0.208443,0.211960,0.146613,0.217572
0.261876,0.201743,0.207029,0.138498,0.213636
0.260066,0.194523,0.200705,0.124213,0.210723
0.258265,0.187662,0.192860,0.115815,0.207016
0.256096,0.181762,0.186826,0.109003,0.201877
0.254690,0.174203,0.178475,0.103816,0.195395
0.252479,0.165393,0.172479,0.098741,0.186953
0.250624,0.159071,0.165221,0.095604,0.177132
0.248039,0.151381,0.159146,0.092057,0.170126
0.245800,0.145626,0.153098,0.089018,0.160707
0.244800,0.139482,0.147414,0.085676,0.155540
0.243258,0.133682,0.143988,0.082278,0.149176
0.242254,0.129698,0.138493,0.079190,0.144037
0.241121,0.124115,0.134337,0.075390,0.137627
0.239000,0.118217,0.127822,0.072425,0.131783
0.237402,0.111729,0.121874,0.068613,0.127966
0.235897,0.104829,0.116693,0.064766,0.125173
0.234136,0.099528,0.112770,0.061478,0.120639
0.232931,0.094980,0.108924,0.057896,0.117594
0.231403,0.091159,0.105662,0.055814,0.113788
0.230145,0.087361,0.101397,0.053746,0.108671
0.228515,0.083882,0.098896,0.051758,0.104371
0.227432,0.081019,0.096804,0.050639,0.099385
0.226065,0.079214,0.094328,0.048641,0.094776
0.224738,0.077645,0.091284,0.046323,0.091644
0.223725,0.076275,0.088247,0.044548,0.088641
0.222666,0.074896,0.086046,0.041836,0.085566
0.221258,0.073629,0.084001,0.039405,0.082483
0.220250,0.072349,0.081838,0.037971,0.080082
0.219244,0.071361,0.080183,0.035155,0.078139
0.218376,0.069683,0.078513,0.033127,0.075920
0.217591,0.068572,0.077227,0.031126,0.074003
0.216605,0.067480,0.076312,0.028989,0.072303
0.215493,0.066353,0.075460,0.027310,0.071314
0.214508,0.065150,0.074063,0.025647,0.070079
0.212991,0.063808,0.073160,0.024110,0.068879
0.211681,0.062399,0.072246,0.022238,0.067666
0.210575,0.060981,0.071137,0.021133,0.066653
0.208806,0.059866,0.069881,0.020133,0.065900
0.207548,0.058621,0.069153,0.019196,0.065009
0.206616,0.057708,0.068306,0.018275,0.063993
0.205409,0.056606,0.067399,0.017510,0.063149
0.204359,0.055641,0.066524,0.016579,0.062183
0.203133,0.054660,0.065936,0.015880,0.061390
0.201957,0.053836,0.065350,0.015143,0.060560
0.201012,0.052930,0.064853,0.014570,0.059518
0.199784,0.052312,0.064359,0.014016,0.058639
0.198757,0.051850,0.063722,0.013541,0.058025
0.197524,0.051332,0.063212,0.013195,0.057093
0.195285,0.050776,0.062825,0.012699,0.056444
0.192887,0.050332,0.062133,0.012264,0.056040
0.187605,0.049583,0.061626,0.011891,0.055519
0.181912,0.049135,0.061039,0.011287,0.054868
0.175024,0.048498,0.060495,0.010955,0.054250
0.167291,0.048015,0.059772,0.010505,0.053594
0.160500,0.047299,0.059368,0.010226,0.053030
0.146020,0.046662,0.058696,0.009797,0.052305
0.129168,0.046065,0.058069,0.009598,0.051742
0.118830,0.045418,0.057548,0.009315,0.051213
0.108384,0.044833,0.057007,0.009032,0.050474
0.096599,0.044308,0.056331,0.008612,0.049808
0.086304,0.043859,0.055630,0.008430,0.049274
0.073955,0.043173,0.054552,0.008037,0.048574
0.063357,0.042730,0.053893,0.007810,0.047969
0.057425,0.042128,0.052914,0.007540,0.047368
0.051556,0.041401,0.051985,0.007252,0.046648
0.043592,0.040658,0.051084,0.007055,0.046156
0.036514,0.039414,0.050258,0.006920,0.045553
0.031292,0.037999,0.049465,0.006635,0.045059
0.027168,0.036649,0.048536,0.006497,0.044496
0.024192,0.034667,0.047579,0.006391,0.043835
0.021496,0.032715,0.046582,0.006185,0.043251
0.019745,0.030804,0.045685,0.006068,0.042767
