N_LAYERS,loss_values,mse_ref_values,loss_values_basis,mse_ref_values_basis
5,0.6254223745553534,0.0008445637844641309,0.18019195158156048,0.0003225020059849585
5,0.6367998578234949,0.0008910812688376766,0.09164269752754711,0.0002069322907459843
5,0.6241753940969071,0.0008281807605159451,0.3153494927497113,0.00057409132145271
5,0.6325839513194487,0.0008556380337530929,0.3143114196802217,0.0004974039536171927
5,0.6242537277746807,0.0008304379603871638,0.00918735115987927,1.1029166697910696e-05
10,0.48446999068109775,0.00021991745452753134,0.20110353574965603,0.0005602278536233458
10,0.49342906136187764,0.00024763152087719375,0.33734906918193747,0.00014166332069512645
10,0.4812952146828124,0.00021304364350910185,0.45904110390437086,0.00018344952926110735
10,0.48138130938937534,0.00021330242431603826,0.32774585815449514,0.0005037873616416477
10,0.48437463448042495,0.0002229023147632514,7.27963581986549e-05,1.0204310264204827e-05
25,4.764195860075425e-05,1.0265570801865207e-05,0.7474263459784555,0.0020159682687057347
25,4.7385819735807616e-05,1.0264396590008301e-05,0.7463216655693601,0.0020018921032489
25,4.492147908821937e-05,1.0245904901629351e-05,7.339064588943426e-05,1.0371302146063653e-05
25,5.6456398156661425e-05,1.0247543959124259e-05,0.6621675443067048,0.0008580265592501762
25,6.594204220764142e-05,1.0305703600148862e-05,2.4114885852062985e-05,1.023283431517843e-05
50,3.8279325635785986e-05,1.0274403173362543e-05,8.43651557665175e-05,1.0396014798823498e-05
50,0.00011307218310691463,1.0209823308208721e-05,0.6630663286008437,0.0008757327335877516
50,3.5842152082271384e-05,1.0287309409102595e-05,0.4740540534421903,0.00018723216359969487
50,4.8262927050094134e-05,1.0215872740927414e-05,3.4118816311336744e-05,1.0316246311886661e-05
50,8.2549510943798e-05,1.0380446511652582e-05,0.6586367015637147,0.0008506330661224897
75,6.792463720080802e-05,1.0343578354798004e-05,6.192976275453795e-05,1.025453058603491e-05
75,6.909502565038685e-05,1.0296707321895568e-05,0.00020875677340490738,1.0204344301734275e-05
75,0.00012762354222950947,1.0251022724620451e-05,0.6623017910267858,0.0008362080931424635
75,7.435542434677682e-05,1.024518579122738e-05,0.0018375722110476847,1.080765487121901e-05
75,8.464787806666398e-05,1.022194384205605e-05,0.00013676536187599123,1.0316283404085665e-05
100,0.00023383782075815388,1.0370535641287971e-05,0.00020986423560208074,1.027386951010705e-05
100,9.122537742855864e-05,1.0247316583255839e-05,0.00015980877683198033,1.0203493217875379e-05
100,0.00014269063769989398,1.0177877660167665e-05,0.00014934923726910783,1.0098315644096832e-05
100,0.0001072430563558759,1.0183870296918388e-05,0.6475816069877599,0.0009190766694481638
100,0.00018957505944577544,1.0377332328216616e-05,0.6623818818895609,0.0008426245319310352

